init
1 0 [3310.0, 3433.5, 3314.25, 3436.5]
1 1 [5001.5, 5021.5, 5009.5, 5027.75]
0 0 [4051.75, 3939.0, 4050.5, 3938.25]
0 1 [3043.0, 3257.75, 3034.25, 3251.75]
1 0 [3311.5, 3435.5, 3316.0, 3438.5]
1 1 [5002.25, 5022.25, 5010.5, 5028.75]
0 0 [4054.0, 3941.0, 4052.75, 3940.5]
0 1 [3044.0, 3258.75, 3035.5, 3253.0]
1 0 [3311.5, 3435.25, 3315.75, 3438.25]
1 1 [5000.25, 5020.25, 5008.5, 5026.75]
0 0 [4051.75, 3939.0, 4050.5, 3938.25]
0 1 [3042.25, 3257.0, 3033.5, 3251.0]
1 0 [3310.25, 3434.0, 3314.5, 3436.75]
1 1 [5001.75, 5021.75, 5010.0, 5028.25]
0 0 [4053.75, 3941.0, 4052.5, 3940.25]
0 1 [3043.75, 3258.5, 3035.25, 3252.5]
1 0 [3312.25, 3436.0, 3316.5, 3438.75]
1 1 [5001.0, 5021.0, 5009.25, 5027.5]
0 0 [4053.0, 3940.0, 4051.75, 3939.25]
0 1 [3043.0, 3257.75, 3034.25, 3251.75]
1 0 [3310.75, 3434.5, 3315.0, 3437.5]
1 1 [5003.0, 5023.0, 5011.25, 5029.5]
0 0 [4054.5, 3941.5, 4053.5, 3940.75]
0 1 [3044.0, 3258.75, 3035.25, 3253.0]
1 0 [3312.5, 3436.5, 3316.75, 3439.25]
1 1 [5002.5, 5022.5, 5010.75, 5029.0]
0 0 [4053.75, 3941.0, 4052.5, 3940.0]
0 1 [3042.5, 3257.25, 3034.0, 3251.25]
1 0 [3309.25, 3433.0, 3313.75, 3436.0]
1 1 [5002.0, 5022.0, 5010.0, 5028.25]
0 0 [4051.75, 3938.75, 4050.5, 3938.0]
0 1 [3042.25, 3257.25, 3033.5, 3251.25]
1 0 [3312.0, 3435.75, 3316.25, 3438.75]
1 1 [5002.5, 5022.5, 5010.75, 5029.0]
0 0 [4054.0, 3941.0, 4052.75, 3940.25]
0 1 [3044.75, 3259.5, 3036.0, 3253.5]
1 0 [3310.25, 3434.0, 3314.75, 3437.0]
1 1 [5001.75, 5021.75, 5009.75, 5028.0]
0 0 [4052.0, 3939.25, 4050.75, 3938.5]
0 1 [3043.5, 3258.25, 3034.75, 3252.5]
1 0 [3310.25, 3434.25, 3314.5, 3437.0]
1 1 [5003.75, 5023.75, 5012.0, 5030.25]
0 0 [4054.75, 3941.75, 4053.5, 3941.0]
0 1 [3044.5, 3259.25, 3035.75, 3253.25]
1 0 [3312.0, 3435.75, 3316.5, 3438.75]
1 1 [5001.75, 5021.75, 5009.75, 5028.0]
0 0 [4051.75, 3939.0, 4050.75, 3938.25]
0 1 [3043.25, 3258.0, 3034.5, 3252.0]
1 0 [3310.0, 3433.75, 3314.25, 3436.5]
1 1 [5003.0, 5023.0, 5011.0, 5029.25]
0 0 [4054.75, 3941.5, 4053.5, 3941.0]
0 1 [3044.75, 3259.75, 3036.25, 3253.75]
1 0 [3313.25, 3437.0, 3317.5, 3439.75]
1 1 [5002.0, 5022.0, 5010.25, 5028.5]
0 0 [4052.75, 3939.75, 4051.5, 3939.25]
0 1 [3043.25, 3258.0, 3034.5, 3252.25]
1 0 [3311.0, 3434.75, 3315.25, 3437.5]
1 1 [5003.0, 5023.0, 5011.0, 5029.5]
0 0 [4055.75, 3942.5, 4054.25, 3942.0]
0 1 [3044.0, 3259.0, 3035.5, 3253.25]
1 0 [3313.25, 3437.0, 3317.5, 3440.0]
1 1 [5003.25, 5023.25, 5011.25, 5029.5]
0 0 [4055.0, 3942.25, 4054.0, 3941.5]
0 1 [3044.75, 3259.25, 3036.0, 3253.5]
1 0 [3310.75, 3434.5, 3315.0, 3437.5]
1 1 [5001.5, 5021.5, 5009.75, 5028.0]
0 0 [4053.75, 3940.75, 4052.5, 3940.0]
0 1 [3043.75, 3258.75, 3035.0, 3253.0]
1 0 [3311.75, 3435.5, 3316.0, 3438.5]
1 1 [5003.25, 5023.25, 5011.25, 5029.75]
0 0 [4055.5, 3942.5, 4054.5, 3942.0]
0 1 [3045.0, 3260.0, 3036.5, 3254.25]
1 0 [3313.5, 3437.25, 3317.75, 3440.25]
1 1 [5005.5, 5025.25, 5013.5, 5031.75]
0 0 [4055.0, 3942.5, 4054.0, 3941.5]
0 1 [3045.5, 3260.25, 3036.75, 3254.5]
1 0 [3313.0, 3436.75, 3317.25, 3439.75]
1 1 [5005.0, 5025.0, 5013.25, 5031.5]
0 0 [4056.25, 3943.0, 4055.0, 3942.5]
0 1 [3045.0, 3260.0, 3036.25, 3254.0]
1 0 [3312.25, 3436.0, 3316.75, 3439.0]
1 1 [5001.75, 5022.0, 5010.0, 5028.25]
0 0 [4052.25, 3939.0, 4051.0, 3938.5]
0 1 [3042.25, 3257.0, 3033.75, 3251.25]
1 0 [3310.0, 3433.75, 3314.25, 3436.5]
1 1 [5002.25, 5022.25, 5010.25, 5028.5]
0 0 [4054.5, 3941.75, 4053.25, 3941.0]
0 1 [3044.5, 3259.25, 3035.75, 3253.25]
1 0 [3312.0, 3435.5, 3316.25, 3438.5]
1 1 [5000.0, 5020.0, 5008.25, 5026.5]
0 0 [4049.25, 3936.5, 4048.0, 3935.75]
0 1 [3040.75, 3255.25, 3032.0, 3249.5]
1 0 [3307.75, 3431.25, 3312.0, 3434.25]
1 1 [5000.75, 5020.75, 5008.75, 5027.0]
0 0 [4053.5, 3940.5, 4052.25, 3939.75]
0 1 [3043.25, 3258.25, 3034.75, 3252.5]
1 0 [3312.25, 3436.0, 3316.5, 3439.0]
1 1 [5001.75, 5021.75, 5009.75, 5028.0]
0 0 [4051.0, 3938.25, 4049.75, 3937.5]
0 1 [3041.25, 3256.0, 3032.75, 3250.0]
1 0 [3308.25, 3432.0, 3312.75, 3435.0]
1 1 [4998.5, 5018.25, 5006.5, 5024.75]
0 0 [4051.75, 3938.75, 4050.5, 3938.0]
